(playable-blip) (base) pool@pool-geek:/media/pool/PLAYABLE-D/work/tests$ python blip.py 
[device] cuda | mps_built=False | mps_available=False
[00:02:15] a black and white photo of a desert  (0.272s)
[00:18:31] a man in a cowboy hat standing next to a wooden pole  (0.085s)
[00:18:33] a man in a cowboy hat standing next to a fence  (0.078s)
[00:18:35] a man in a cowboy hat standing next to a wooden pole  (0.083s)
[00:18:37] a man in a cowboy hat and jacket standing next to a fence  (0.091s)
[00:18:39] a man and woman standing next to each other people  (0.070s)
[00:18:41] a man and woman standing next to each other people  (0.073s)
[00:18:43] a man and woman standing next to each other people  (0.073s)
[00:18:45] a man in a cowboy hat standing next to a horse  (0.079s)
[00:18:48] a man in a cowboy hat standing next to a horse  (0.082s)
[00:18:50] a man in a cowboy hat standing next to a horse  (0.080s)
[00:18:52] a man in a cowboy hat standing next to a horse  (0.078s)
[00:18:54] a man in a cowboy hat standing next to a horse  (0.078s)
[00:18:56] a man and woman standing next to each other people  (0.072s)
[00:18:58] a man in a cowboy hat standing next to a horse  (0.078s)
[00:19:00] a man and woman standing next to each other people  (0.075s)
[00:19:02] a man in a cowboy hat and a horse  (0.068s)
[00:19:04] a man standing next to a horse  (0.056s)
[00:19:06] a woman sitting on a bench in the dirt  (0.067s)
[00:19:08] a man in a cowboy hat is standing next to a horse  (0.085s)
[00:19:10] a woman sitting on a bench in the dirt  (0.069s)
[00:19:12] a woman sitting on a bench in the dirt  (0.067s)
[00:19:14] a man in cowboy gear standing next to a horse  (0.072s)
[00:19:16] a man in cowboy gear stands next to a horse  (0.073s)
[00:19:18] a man standing next to a horse in a field  (0.074s)
[00:19:20] a man in a cowboy hat riding a horse  (0.068s)
[00:19:22] a man riding a horse in a field  (0.063s)
[00:19:24] a woman sitting on a bench in the dirt  (0.070s)
[00:19:26] a man in a cowboy hat and a woman in a dress  (0.084s)
[00:19:28] a man riding a horse on a dirt road  (0.071s)
[00:19:30] a horse standing in front of a building  (0.063s)
[00:19:32] a woman sitting on the porch of a house  (0.068s)
[00:19:34] a man in a cowboy hat riding a donkey  (0.068s)
[00:19:36] a horse standing in front of a sign  (0.061s)
[00:19:38] a man in a cowboy hat standing next to a horse  (0.078s)
[00:19:40] a man in cowboy gear standing next to a horse  (0.071s)
[00:19:42] a man in a cowboy hat standing outside of a building  (0.078s)
[00:19:44] a woman standing in front of a building  (0.060s)
[00:19:46] a man in a cowboy hat is standing next to a horse  (0.081s)
[00:19:48] a man in a cowboy hat standing next to a horse  (0.076s)
[00:19:50] a man standing next to a horse in a field  (0.070s)
[00:19:52] a man in a cowboy hat standing in front of a building  (0.081s)
[00:19:54] a man standing next to a horse in a field  (0.071s)
[00:19:56] a man in a cowboy hat standing outside of a building  (0.076s)
[00:19:58] a man in a cowboy hat standing in front of a building  (0.084s)
[00:20:00] a man on a horse with a sign in the background  (0.077s)
[00:20:02] a horse standing next to a sign in the desert  (0.071s)
[00:20:04] a man in a cowboy hat standing on a porch  (0.072s)
[00:20:06] a man on a horse standing next to a sign  (0.072s)
[00:20:08] a man riding a horse next to a sign  (0.068s)
[00:20:10] a man on a horse standing in front of a sign  (0.078s)
[00:20:12] a man riding a horse in front of a sign  (0.072s)
[00:20:14] a man riding a horse in front of a sign  (0.071s)
[00:20:16] a man riding a horse in a rocky area  (0.068s)
[00:20:18] a man riding a horse through a desert  (0.065s)
[00:20:20] a man in a cowboy hat looking out from a gate  (0.081s)
[00:20:22] a man in a cowboy hat looking through a gate  (0.074s)
[00:20:24] a black and white photo of a bar  (0.061s)
[00:20:26] a man standing in a bar with a bar in the background  (0.082s)
[00:20:28] a man standing in a bar with a bar in the background  (0.082s)
[00:20:30] a man standing in a bar with a bar in the background  (0.082s)
[00:20:32] a man standing in a bar with a bar in the background  (0.081s)
[00:20:34] a man standing in a bar with a bar in the background  (0.087s)
[00:20:36] a bar with a lot of tables and chairs  (0.068s)
[00:20:38] a black and white photo of a bar  (0.063s)
[00:20:40] a man in a cowboy hat and jacket standing in a room  (0.082s)
[00:20:42] a man in a cowboy hat is playing a game of poker  (0.084s)
[00:20:44] a man in a cowboy hat and jacket sitting on a chair  (0.083s)
[00:20:46] a woman in a striped shirt is making a drink  (0.073s)
[00:20:48] a man in a cowboy hat and jacket leaning on a table  (0.084s)
[00:20:50] a man in a cowboy hat and jacket  (0.063s)
[00:20:52] a man and woman sitting in a chair  (0.063s)
[00:20:54] a man and woman sitting at a table  (0.062s)
[00:20:56] a man and woman in a room with a table  (0.072s)
[00:20:58] a man and woman in a room  (0.059s)
[00:21:00] a man and woman in a room with a bottle of wine  (0.082s)
[00:21:02] a man and woman in a room with a bottle  (0.073s)
[00:21:04] a man and woman in a room with a bottle  (0.074s)
[00:21:06] a man and woman in a room  (0.058s)
[00:21:08] a man and woman in a room with a bottle of wine  (0.083s)
[00:21:10] a man and woman in cowboy attire  (0.056s)
[00:21:12] a man and woman in cowboy attire  (0.058s)
[00:21:14] a man in a cowboy hat and a woman in a dress  (0.082s)
[00:21:16] a woman with a striped shirt and a striped shirt  (0.072s)
[00:21:18] a woman with a striped shirt and a striped shirt  (0.073s)
[00:21:20] a woman in a striped shirt looks at the camera  (0.074s)
[00:21:22] a man and woman in cowboy attire  (0.058s)
[00:21:24] a man and woman in cowboy hats  (0.057s)
[00:21:26] a man and woman in cowboy hats  (0.057s)
[00:21:28] a man in a cowboy hat kisses a woman  (0.067s)
[00:21:30] a man in a cowboy hat kissing another man in a cowboy hat kissing another man in a cowboy hat  (0.122s)
[00:21:32] a man in a cowboy hat and shirt  (0.061s)
[00:21:34] a man in a cowboy hat and a woman in a dress  (0.081s)
[00:21:36] a man riding on the back of a horse  (0.067s)
[00:21:38] two men on horses with a man on the back  (0.072s)
[00:21:40] two men on horses in the desert  (0.059s)
[00:21:42] a man on a horse with a gun  (0.063s)
[00:21:44] two men in uniform riding horses in the desert  (0.070s)
[00:21:46] a group of people walking through a rocky area  (0.069s)
[00:21:48] a group of people walking through a rocky area  (0.068s)
[00:21:50] two men riding horses through the desert  (0.058s)
[00:21:52] a man in a hat and a dog  (0.064s)
[00:21:54] two men sitting on rocks in the desert  (0.069s)
[00:21:56] two men sitting on rocks in the desert  (0.061s)
[00:21:58] two men sitting on rocks in the desert  (0.061s)
[00:22:00] two men sitting on rocks in the desert  (0.063s)
[00:22:02] two men sitting on a rock in the desert  (0.071s)
[00:22:04] two men sitting on top of a horse  (0.065s)
[00:22:06] two men sitting on rocks in the desert  (0.068s)
[00:22:08] a man in a cowboy hat and a woman in a dress on a horse  (0.103s)
[00:22:10] three men riding horses in the desert  (0.060s)
[00:22:12] two men riding horses in the desert  (0.061s)
[00:22:14] two men riding horses in the desert  (0.061s)
[00:22:16] three men riding horses in the desert  (0.060s)
[00:22:18] a group of men riding horses in the desert  (0.069s)
[00:22:20] a group of people walking through a forest  (0.064s)
[00:22:22] two men in cowboy hats and jackets stand in front of large rocks  (0.088s)
[00:22:24] two men in cowboy hats standing next to each other men  (0.075s)
[00:22:26] two men in cowboy hats and ties  (0.058s)
[00:22:28] two men in hats and suits sitting on rocks  (0.067s)
[00:22:30] two men in cowboy hats sit on rocks  (0.060s)
[00:22:32] two men in cowboy hats standing next to each other men  (0.078s)
[00:22:34] two men in cowboy hats standing next to each other men  (0.075s)
[00:22:36] two men in cowboy hats sit on rocks  (0.063s)
[00:22:38] two men in cowboy hats sit on rocks  (0.065s)
[00:22:40] two men in cowboy hats sit on rocks  (0.063s)
[00:22:42] two men in cowboy hats stand on rocks  (0.063s)
[00:22:44] two men in cowboy hats sit on rocks  (0.063s)
[00:22:46] two men in cowboy hats sit on rocks  (0.063s)
[00:22:48] two men in cowboy hats standing next to each other men  (0.084s)
[00:22:50] two men in cowboy hats standing next to each other men  (0.078s)
[00:22:52] two men in cowboy hats standing next to each other men  (0.079s)
[00:22:54] a boy in a cowboy hat riding a horse  (0.068s)
[00:22:56] three men in cowboy hats sitting on horses  (0.063s)
[00:22:58] a man in a cowboy hat sitting on a horse  (0.074s)
[00:23:00] a man in a hat sitting on a rock  (0.069s)
[00:23:02] a man and woman sitting on a rock  (0.065s)
[00:23:04] two men in cowboy hats and jackets standing in front of rocks  (0.083s)
[00:23:06] two men in cowboy hats sit on rocks  (0.064s)
[00:23:08] a man and woman riding on the back of a horse  (0.077s)
[00:23:10] a group of men riding horses through a rocky area  (0.071s)
[00:23:12] a man riding on the back of a horse  (0.068s)
[00:23:14] a group of men riding horses through a rocky area  (0.073s)
[00:23:16] a group of men riding horses through a rocky area  (0.075s)
[00:23:18] a group of men riding horses through a rocky area  (0.072s)
[00:23:20] a group of men walking through a rocky area  (0.067s)
[00:23:22] a black and white photo of a man in a room  (0.076s)
[00:23:24] a woman standing in a room with a curtain  (0.066s)
[00:23:26] a man in a suit standing next to a woman  (0.072s)
[00:23:28] a man and woman standing in a room  (0.063s)
[00:23:30] a man and woman standing in a room  (0.064s)
[00:23:32] a man and woman standing in a kitchen  (0.064s)
[00:23:34] a man and woman in a kitchen  (0.058s)
[00:23:36] a man and woman in a room with a guitar  (0.074s)
[00:23:38] a man and woman are looking at a camera  (0.067s)
[00:23:40] a man and woman in a kitchen  (0.059s)
[00:23:42] a man and woman sitting at a table  (0.063s)
[00:23:44] a man and woman sitting at a table  (0.063s)
[00:23:46] a woman with curly hair and a man in the background  (0.081s)
[00:23:48] a woman in a black dress and a man in a suit  (0.088s)
[00:23:50] a woman with a man in the background  (0.064s)
[00:23:52] a man and woman in a black and white photo  (0.073s)
[00:23:54] a man and woman looking at each other people  (0.069s)
[00:23:56] a man and woman in a black and white photo  (0.074s)
[00:23:58] a man and woman looking at each other people  (0.070s)
[00:24:00] a man and woman in a black and white photo  (0.070s)
[00:24:02] a man and woman in a black and white photo  (0.072s)
[00:24:04] a man and woman in a black and white photo  (0.071s)
[00:24:06] a man and woman looking at each other people  (0.072s)
[00:24:08] a man and woman in a black and white photo  (0.074s)
[00:24:10] a woman and a man in a black and white photo  (0.082s)
[00:24:12] a man and woman looking at each other people  (0.071s)
[00:24:14] a man and woman in a black and white photo  (0.074s)
[00:24:16] a man and woman looking at each other people  (0.068s)
[00:24:18] a man and woman in a black and white photo  (0.074s)
[00:24:20] a man and woman kissing in the dark  (0.060s)
[00:24:22] a man and woman kissing in a black and white photo  (0.078s)
[00:24:24] a man and woman kissing in a scene from the film  (0.079s)
[00:24:26] a man and woman in a black and white photo  (0.077s)
[00:24:28] a man and woman looking at each other people  (0.068s)
[00:24:30] a woman in a black and white photo  (0.064s)
[00:24:32] a man and woman in a black and white photo  (0.074s)
[00:24:34] a man and woman kissing in the dark  (0.063s)
[00:24:36] a man riding a horse through a gate  (0.065s)
[00:24:38] a horse standing in a doorway with a fence  (0.068s)
[00:24:40] a woman standing in an open doorway  (0.056s)
[00:24:42] a black and white photo of a doorway  (0.063s)
[00:24:44] a horse is standing in the doorway of a barn  (0.074s)
[00:24:46] a black and white photo of a wooden door  (0.067s)
[00:24:48] a man in a cowboy hat looking out of a wooden door  (0.082s)
[00:24:50] a man in a cowboy hat standing in front of a door  (0.083s)
[00:24:52] a man in a cowboy hat standing in front of a door  (0.081s)
[00:24:54] a man in a cowboy hat standing in front of a door  (0.086s)
[00:24:56] a man in a cowboy hat standing at the door  (0.072s)
[00:24:58] a man in a hat and jacket standing in front of a wooden door  (0.092s)
[00:25:00] a man in a cowboy hat looking out a window  (0.072s)
[00:25:02] a woman in a hat standing in front of a door  (0.079s)
[00:25:04] a man in a hat standing in front of a door  (0.077s)
[00:25:06] a man in a cowboy hat standing next to a horse  (0.077s)
[00:25:08] two men in cowboy hats look out the window  (0.067s)
[00:25:10] a man in a cowboy hat standing in front of a wooden door  (0.087s)
[00:25:12] a man in a cowboy hat standing in front of a wooden door  (0.089s)
[00:25:14] a man in a cowboy hat standing in front of a door  (0.084s)
[00:25:16] a horse standing in front of a wooden door  (0.068s)
[00:25:18] a man in a cowboy hat and jacket  (0.064s)
[00:25:20] a man in a cowboy hat sitting on a chair  (0.074s)
[00:25:22] a man in a cowboy hat looking through a gate  (0.073s)
[00:25:24] a man in a cowboy hat looking through a gate  (0.073s)
[00:25:26] a man in a cowboy hat and leather jacket  (0.068s)
[00:25:28] a man in a cowboy hat standing in front of a door  (0.082s)
[00:25:30] a man and woman sitting at a bar  (0.060s)
[00:25:32] a man in a hat and a woman in a dress  (0.077s)
[00:25:34] the three men are talking in a bar  (0.062s)
[00:25:36] two men in cowboy hats sit at a bar  (0.065s)
[00:25:38] the man in the hat is talking to two men  (0.072s)
[00:25:40] a man in a cowboy hat talking to another man  (0.073s)
[00:25:42] a man in a cowboy hat and a man in a suit  (0.085s)
[00:25:44] a man in a hat and jacket with a cigarette  (0.073s)
[00:25:46] a man in a cowboy hat and jacket  (0.066s)
[00:25:48] a man in a cowboy hat and a woman in a dress  (0.081s)
[00:25:50] a man in a cowboy hat talking to two women  (0.073s)
[00:25:52] a man in a cowboy hat and a man in a suit  (0.084s)
[00:25:54] a man in a cowboy hat talking to another man  (0.074s)
[00:25:56] a man in a cowboy hat talking to another man  (0.074s)
[00:25:58] a man in a cowboy hat and a woman in a dress  (0.086s)
[00:26:00] a man in a hat and a man in a suit  (0.078s)
[00:26:02] a man in a hat looking through a gate  (0.067s)
[00:26:04] a man in a hat and a woman in a dress  (0.078s)
[00:26:06] a man in a cowboy hat talking to another man  (0.072s)
[00:26:08] a man in a cowboy hat talking to another man  (0.072s)
[00:26:10] a man in a hat and a man in a suit  (0.076s)
[00:26:12] a man in a cowboy hat and tie  (0.063s)
[00:26:14] a man in a hat and coat  (0.060s)
[00:26:16] a man in a cowboy hat and jacket  (0.063s)
[00:26:18] a man in a cowboy hat and jacket  (0.064s)
[00:26:20] a man in a hat and jacket  (0.058s)
[00:26:22] a man in a hat and jacket  (0.059s)
[00:26:24] a man in a cowboy hat and vest  (0.064s)
[00:26:26] a man in a cowboy hat and vest  (0.062s)
[00:26:28] a man in a cowboy hat and vest  (0.064s)
[00:26:30] a man in a cowboy hat and vest  (0.064s)
[00:26:32] a man in a cowboy hat and vest  (0.064s)
[00:26:34] a man standing on a porch next to a horse  (0.073s)
[00:26:36] a man in a cowboy hat standing on a porch  (0.073s)
[00:26:38] a man in a hat and a man in a suit standing next to a building  (0.102s)
[00:26:40] a man in a cowboy hat and vest  (0.063s)
[00:26:42] a man in a cowboy hat and tie  (0.062s)
[00:26:44] a man in a hat and jacket is looking at the camera  (0.082s)
[00:26:46] a man in a hat and jacket  (0.058s)
[00:26:48] a man in a hat and jacket  (0.057s)
[00:26:50] a man in a cowboy hat and vest  (0.064s)
[00:26:52] a man in a hat and jacket  (0.059s)
[00:26:54] a man in a cowboy hat and vest  (0.064s)
[00:26:56] a man in a hat and jacket  (0.057s)
[00:26:58] a man in a hat and jacket  (0.057s)
[00:27:00] a man in a hat and coat  (0.060s)
[00:27:02] a man in a cowboy hat and a man in a suit  (0.082s)
[00:27:04] a man in a cowboy hat and vest  (0.061s)
[00:27:06] two men in cowboy attire stand next to a building  (0.071s)
[00:27:08] a man in a cowboy hat standing next to a brick wall  (0.084s)
[00:27:10] a man in a cowboy hat and two other men  (0.071s)
[00:27:12] a man in a cowboy hat and a man in a suit  (0.081s)
[00:27:14] a man riding a horse through a fence  (0.061s)
[00:27:16] a man riding a horse on a dirt road  (0.069s)
[00:27:18] a man in a cowboy hat and a man in a suit  (0.083s)
[00:27:20] three men in cowboy hats stand around a table  (0.066s)
[00:27:22] the three men in the western western western series  (0.071s)
[00:27:24] three men in cowboy hats talking to each other men  (0.074s)
[00:27:26] the three men in the western western western series  (0.069s)
[00:27:28] three men in cowboy hats stand in a barn  (0.067s)
[00:27:30] three men in cowboy hats talking to each other men  (0.070s)
[00:27:32] the three men are talking in a room  (0.062s)
[00:27:34] three men in cowboy attire talking to each other men  (0.073s)
[00:27:36] a man in a cowboy hat and a man in a shirt  (0.085s)
[00:27:38] a man in a hat is standing at the door  (0.074s)
[00:27:40] a man in a cowboy hat standing next to a table  (0.080s)
[00:27:42] the man in the hat is standing in front of a table  (0.084s)
[00:27:44] a man in a cowboy hat and a woman in a dress  (0.081s)
[00:27:46] the man in the hat is talking to another man  (0.076s)
[00:27:48] two men in cowboy hats talking  (0.052s)
[00:27:50] two men in cowboy hats talking to each other men  (0.073s)
[00:27:52] two men in cowboy hats talking to each other men  (0.075s)
[00:27:54] two men in cowboy hats talking to each other men  (0.076s)
[00:27:56] a man in a hat and a man in a suit  (0.078s)
[00:27:58] a man in a hat and vest talking to another man  (0.080s)
[00:28:00] a man in a hat and a man in a suit talking  (0.084s)
[00:28:02] two men in cowboy hats talking to each other men  (0.073s)
[00:28:04] a man in a hat and a man in a suit  (0.079s)
[00:28:06] a man in a hat and coat sitting on a bench  (0.082s)
[00:28:08] a man in a hat and coat sitting on a bench  (0.079s)
[00:28:10] a man in a hat and coat standing next to a wall  (0.084s)
[00:28:12] a man in a hat and coat standing next to a wall  (0.087s)
[00:28:14] a man in a cowboy hat sitting at a table  (0.075s)
[00:28:16] two men in cowboy hats stand in a room  (0.069s)
[00:28:18] a man in a hat and a man in a suit stand in a room  (0.097s)
[00:28:20] a black and white photo of two men in cowboy hats  (0.077s)
[00:28:22] two men standing in front of a door  (0.064s)
[00:28:24] two men standing in front of a door  (0.067s)
[00:28:26] a man in a hat and a woman in a dress  (0.078s)
[00:28:28] a man in a hat and a woman in a dress  (0.079s)
[00:28:30] a man in a hat and a man in a suit  (0.082s)
[00:28:32] a man in a hat and a woman in a dress  (0.082s)
[00:28:34] a man in a hat and a woman in a dress  (0.078s)
[00:28:36] a man in a cowboy hat and a woman in a dress  (0.083s)
[00:28:38] a man in a hat and a man in a suit  (0.077s)
[00:28:40] a man in a cowboy hat sits at a table  (0.075s)
[00:28:42] three men in hats stand near a sign  (0.064s)
[00:28:44] three men in hats stand near a sign  (0.066s)
[00:28:46] two men in cowboy hats talking to each other men  (0.075s)
[00:28:48] two men in cowboy hats stand in a field  (0.068s)
[00:28:50] two men in cowboy hats stand in a field  (0.067s)
[00:28:52] two men in cowboy hats stand in a field  (0.068s)
[00:28:54] two men in hats stand in a field  (0.062s)
[00:28:56] two men in hats and jackets stand in a field  (0.074s)
[00:28:58] a man in a hat talking to another man  (0.068s)
[00:29:00] a man in a hat talking to another man  (0.066s)
[00:29:02] two men in cowboy hats stand in a field  (0.068s)
[00:29:04] two men in hats stand in a field  (0.064s)
[00:29:06] two men in hats and hats stand together  (0.063s)
[00:29:08] two men in hats stand in a field  (0.062s)
[00:29:10] two men in cowboy hats talking  (0.055s)
[00:29:12] two men in cowboy hats talking  (0.051s)
[00:29:14] a man in a cowboy hat talking to another man  (0.074s)
[00:29:16] a group of men standing around a camel  (0.061s)
[00:29:18] three men in hats stand near a sign  (0.061s)
[00:29:20] two men in cowboy hats stand next to a horse  (0.074s)
[00:29:22] two men in cowboy hats standing next to each other men  (0.078s)
[00:29:24] a man in a hat and vest is talking to another man  (0.083s)
[00:29:26] a man in a suit and tie standing on a wooden floor  (0.083s)
[00:29:28] a person standing on a wooden platform with their feet up  (0.077s)
[00:29:30] a person standing on a wooden platform with their feet up  (0.078s)
[00:29:32] a person standing on a wooden platform with their shoes on  (0.080s)
[00:29:34] two men sitting at a table in a bar  (0.068s)
[00:29:36] two men sitting at a table in a bar  (0.069s)
[00:29:38] two men sitting at a table in a bar  (0.068s)
[00:29:40] two men sitting at a table in a bar  (0.067s)
[00:29:42] a man in a hat and glasses sitting at a table  (0.077s)
[00:29:44] a man in a cowboy hat sitting at a table  (0.072s)
[00:29:46] a man in a hat holding a gun  (0.062s)
[00:29:48] a man in a hat sitting at a table  (0.068s)
[00:29:50] a man in a cowboy hat sitting at a table  (0.072s)
[00:29:52] a man in a hat sitting at a table  (0.069s)
[00:29:54] a man in a cowboy hat and shirt is holding a knife  (0.085s)
[00:29:56] a man in a hat and a shirt is standing in front of a bar  (0.100s)
[00:29:58] a man in a hat and vest standing next to a horse  (0.083s)
[00:30:00] a man in a hat and vest holding a gun  (0.079s)
[00:30:02] a man in a hat and coat standing in front of a mirror  (0.088s)
[00:30:04] a man in a hat and coat standing next to a mirror  (0.083s)
[00:30:06] the lone riders, from left, john wayne, john wayne, and john wayne  (0.102s)
[00:30:08] the lone riders, from left, john wayne, john wayne, and john wayne  (0.100s)
[00:30:10] the lone riders, from left, john wayne, john wayne, and john wayne  (0.104s)
[00:30:12] the lone riders, from left, john wayne, john wayne, and john wayne  (0.103s)
[00:30:14] the lone riders, from left, john wayne, john wayne, and john wayne  (0.108s)
[00:30:16] two men in hats and vests stand together  (0.068s)
[00:30:18] a group of men in cowboy hats standing around a barrel  (0.082s)
[00:30:20] a group of men in cowboy hats standing around a barrel  (0.081s)
[00:30:22] a group of men in cowboy hats standing around a barrel  (0.081s)
[00:30:24] two men in hats and jackets stand together  (0.063s)
[00:30:26] two men in hats and vests stand together  (0.068s)
[00:30:28] two men in hats and vests stand together  (0.068s)
[00:30:30] two men in hats and jackets stand together  (0.070s)
[00:30:32] two men in hats and jackets stand together  (0.065s)
[00:30:34] a man standing next to a horse in a pen  (0.073s)
[00:30:36] a man standing in front of a building with horses  (0.072s)
[00:30:38] two men in hats and jackets stand together  (0.060s)
[00:30:40] a man in a hat and a cowboy walking down the street  (0.083s)
[00:30:42] the magnificent men of west texas  (0.052s)
[00:30:44] a group of men in cowboy hats stand together  (0.069s)
[00:30:46] a group of men in cowboy hats talking  (0.061s)
[00:30:48] a group of men in cowboy hats talking  (0.061s)
[00:30:50] a group of men in cowboy hats talking  (0.061s)
[00:30:52] a man in a cowboy hat talking to another man  (0.073s)
[00:30:54] a group of men in hats and jackets  (0.062s)
[00:30:56] a group of men in hats and suits  (0.062s)
[00:30:58] a group of men in hats and suits  (0.061s)
[00:31:00] a group of men in hats and suits  (0.062s)
[00:31:02] a group of men in hats and jackets  (0.063s)
[00:31:04] a group of men in hats and jackets  (0.063s)
[00:31:06] a group of men in hats and jackets  (0.062s)
[00:31:08] a group of men in hats and suits  (0.062s)
[00:31:10] a group of men in hats and jackets  (0.061s)
[00:31:12] the lone man, from left, john wayne, john wayne, and john wayne  (0.105s)
[00:31:14] a group of men in hats and jackets  (0.061s)
[00:31:16] a group of men in hats and coats  (0.062s)
[00:31:18] a group of men in hats and jackets  (0.063s)
[00:31:20] the lone riders, from left, john wayne, john wayne, and john wayne  (0.104s)
[00:31:22] a group of men in hats and jackets  (0.064s)
[00:31:24] the three men are standing together in a black and white photo  (0.084s)
[00:31:26] a group of men standing in front of a building  (0.074s)
[00:31:28] two men in cowboy attire walking down the street  (0.068s)
[00:31:30] two men in cowboy hats and vests walk through the desert  (0.084s)
[00:31:32] two men in cowboy hats and hats stand next to each other men  (0.091s)
[00:31:34] two men are standing next to a horse  (0.063s)
[00:31:36] two men in cowboy hats stand next to a horse  (0.073s)
[00:31:38] two men in cowboy hats stand next to a horse  (0.074s)
[00:31:40] two men in cowboy hats stand next to a horse  (0.073s)
[00:31:42] two men in cowboy hats stand next to a horse  (0.072s)
[00:31:44] a man in a hat is standing next to a horse  (0.077s)
[00:31:46] a man in a hat is standing next to a horse  (0.079s)
[00:31:48] a horse drawn carriage is driving down a dirt road  (0.074s)
[00:31:50] a horse drawn carriage is pulled by a man in the desert  (0.085s)
[00:31:52] a black and white photo of people walking down a dirt road  (0.082s)
[00:31:54] a group of men standing around a horse  (0.062s)
[00:31:56] a group of men standing around a truck  (0.064s)
[00:31:58] a group of people standing around a horse drawn carriage  (0.073s)
[00:32:00] a group of men standing around a truck  (0.062s)
[00:32:02] a group of men standing around a truck  (0.067s)
[00:32:04] a group of men standing around a truck  (0.065s)
[00:32:06] a group of men standing around a horse drawn carriage  (0.074s)
[00:32:08] a group of men standing around a horse drawn carriage  (0.073s)
[00:32:10] a group of men standing around a car  (0.062s)
[00:32:12] a man in a cowboy hat and a man in a cowboy hat  (0.088s)
[00:32:14] a man in a cowboy hat and coat standing next to a statue  (0.090s)
[00:32:16] a black and white photo of a man on a horse  (0.076s)
[00:32:18] a man walking a horse down a dirt road  (0.068s)
[00:32:20] a group of horses standing in front of a building  (0.071s)
[00:32:22] a black and white photo of a man and two horses  (0.076s)
[00:32:24] a man riding on the back of a horse  (0.069s)
[00:32:26] a man standing on top of a building  (0.063s)
[00:32:28] a man is standing in front of a barrel  (0.069s)
[00:32:30] a group of women standing around a barrel  (0.061s)
[00:32:32] a group of people standing around a barrel  (0.066s)
[00:32:34] a man in a cowboy hat standing at the door  (0.073s)
[00:32:36] a man in a cowboy hat is standing behind a wooden gate  (0.083s)
[00:32:38] a man in a cowboy hat standing behind a wooden gate  (0.078s)
[00:32:40] a man in a cowboy hat standing behind a gate  (0.072s)
[00:32:42] a man in a cowboy hat is standing behind a gate  (0.081s)
[00:32:44] a group of children looking through a window  (0.061s)
[00:32:46] a group of people standing around a barrel  (0.062s)
[00:32:48] a group of women walking down a street  (0.061s)
[00:32:50] a group of people walking down a street  (0.063s)
[00:32:52] a group of people standing outside a building  (0.065s)
[00:32:54] a group of people standing around a horse  (0.062s)
[00:32:56] a group of people standing outside of a building  (0.067s)
[00:32:58] a group of people standing around a horse drawn wagon  (0.072s)
[00:33:00] a group of people standing around a horse drawn wagon  (0.072s)
[00:33:02] a group of people standing around a horse drawn wagon  (0.073s)
[00:33:04] a group of people standing around a bus  (0.064s)
[00:33:06] a man in a hat and a woman in a dress  (0.079s)
[00:33:08] a man and woman in cowboy attire  (0.058s)
[00:33:10] a man in a cowboy hat and a woman in a striped shirt  (0.087s)
[00:33:12] a man and woman in cowboy attire  (0.059s)
[00:33:14] a man and woman in cowboy attire  (0.058s)
[00:33:16] a man and woman in cowboy attire looking at each other people  (0.083s)
[00:33:18] a man and woman in cowboy attire  (0.057s)
[00:33:20] a man and woman in cowboy attire looking at each other people  (0.081s)
[00:33:22] a woman in a striped shirt and cowboy hat  (0.070s)
[00:33:24] a group of men standing around a horse drawn wagon  (0.071s)
[00:33:26] a group of people standing around a horse  (0.064s)
[00:33:28] a group of people standing around a train  (0.061s)
[00:33:30] a man is standing on the side of a horse drawn wagon  (0.086s)
[00:33:32] a horse drawn carriage  (0.042s)
[00:33:34] a horse drawn carriage  (0.046s)
[00:33:36] a man is riding in a horse drawn carriage  (0.068s)
[00:33:38] a man riding on the back of a horse drawn carriage  (0.078s)
[00:33:40] a group of men riding horses down a dirt road  (0.071s)
[00:33:42] two men riding horses down a dirt road  (0.063s)
[00:33:44] a man walking down a dirt road next to a building  (0.078s)
[00:33:46] a group of people standing in front of a mountain  (0.074s)
[00:33:48] a group of people standing in front of a building  (0.075s)
[00:33:50] a man in a long black robe stands in front of a small building  (0.093s)
[00:33:52] a man in a long black robe stands in a dusty, dusty, dusty, dusty, dusty,  (0.118s)
[00:33:54] a black and white photo of a man in a cowboy outfit  (0.086s)
[00:33:56] a black and white photo of a house in the woods  (0.081s)
[00:33:58] a man riding a horse through a forest  (0.063s)
[00:34:00] a man riding on the back of a horse drawn wagon  (0.081s)
[00:34:02] a man riding a horse through a forest  (0.066s)
[00:34:04] a man and woman riding horses through a forest  (0.069s)
[00:34:06] a man riding a horse down a dirt road  (0.068s)
[00:34:08] a man riding a horse down a dirt road  (0.067s)
[00:34:10] a man is standing on a fence in the woods  (0.071s)
[00:34:12] a man riding a horse down a hill  (0.065s)
[00:34:14] a man in a cowboy hat sitting on a couch  (0.071s)
[00:34:16] a man in a cowboy hat sitting on a couch  (0.073s)
[00:34:18] a man in a cowboy hat sits on a chair  (0.073s)
[00:34:20] a man in a cowboy hat sits on a couch  (0.071s)
[00:34:22] a man riding on the back of a horse  (0.068s)
[00:34:24] a man on a horse in the mountains  (0.064s)
[00:34:26] a man riding on the back of a horse drawn carriage  (0.079s)
